DATE,USALOLITONOSTSAM
1976-02-01,100.622045666455
1976-03-01,100.82606651061
1976-04-01,100.948068293945
1976-05-01,101.000029170549
1976-06-01,101.006359883995
1976-07-01,100.988435902908
1976-08-01,100.961034664795
1976-09-01,100.949810078413
1976-10-01,100.97594517843
1976-11-01,101.060774164668
1976-12-01,101.198559411433
1977-01-01,101.362153628129
1977-02-01,101.530113393553
1977-03-01,101.677823473076
1977-04-01,101.776177636212
1977-05-01,101.818626516763
1977-06-01,101.805771818193
1977-07-01,101.74844067408
1977-08-01,101.665820910321
1977-09-01,101.582518119858
1977-10-01,101.513020641762
1977-11-01,101.458481777798
1977-12-01,101.424015508208
1978-01-01,101.419720321771
1978-02-01,101.454271602123
1978-03-01,101.557825354346
1978-04-01,101.704502787471
1978-05-01,101.852792922746
1978-06-01,101.96430650842
1978-07-01,102.01735164094
1978-08-01,102.003266996497
1978-09-01,101.924150250266
1978-10-01,101.786459128679
1978-11-01,101.609620288844
1978-12-01,101.426736358281
1979-01-01,101.265040553731
1979-02-01,101.108368681491
1979-03-01,100.928721451747
1979-04-01,100.713825608729
1979-05-01,100.480128692685
1979-06-01,100.237802713421
1979-07-01,99.9986867483144
1979-08-01,99.7733942925726
1979-09-01,99.5532073830743
1979-10-01,99.320014546863
1979-11-01,99.0718039220176
1979-12-01,98.8146885531517
1980-01-01,98.5501435594352
1980-02-01,98.262931602905
1980-03-01,97.9894154837673
1980-04-01,97.8398945256598
1980-05-01,97.8963756402959
1980-06-01,98.1882908366976
1980-07-01,98.6508895045704
1980-08-01,99.1692465362765
1980-09-01,99.6202345147309
1980-10-01,99.9149761965333
1980-11-01,100.030902860204
1980-12-01,100.009377924631
1981-01-01,99.9198310559969
1981-02-01,99.8085665999854
1981-03-01,99.6981674160312
1981-04-01,99.5607414170834
1981-05-01,99.369508203847
1981-06-01,99.1381396841492
1981-07-01,98.8970898119893
1981-08-01,98.6501342145903
1981-09-01,98.377457608647
1981-10-01,98.0902493345444
1981-11-01,97.807437761267
1981-12-01,97.5512142606326
1982-01-01,97.3099291414331
1982-02-01,97.0669997700941
1982-03-01,96.8487267604008
1982-04-01,96.6973753873821
1982-05-01,96.6277717359734
1982-06-01,96.6453736798597
1982-07-01,96.7392290529266
1982-08-01,96.8966551335094
1982-09-01,97.1208866534122
1982-10-01,97.4065936569614
1982-11-01,97.7640605083375
1982-12-01,98.201478781477
1983-01-01,98.7077639151831
1983-02-01,99.2591229284433
1983-03-01,99.8277868220972
1983-04-01,100.383203866252
1983-05-01,100.893153813996
1983-06-01,101.327997591262
1983-07-01,101.673476126358
1983-08-01,101.930532284345
1983-09-01,102.118089457215
1983-10-01,102.243951756266
1983-11-01,102.313449955528
1983-12-01,102.328267420798
1984-01-01,102.291434108085
1984-02-01,102.192602858017
1984-03-01,102.025153609829
1984-04-01,101.79665829288
1984-05-01,101.533642027377
1984-06-01,101.257679930846
1984-07-01,100.997444579095
1984-08-01,100.769810389476
1984-09-01,100.589625755681
1984-10-01,100.462433729173
1984-11-01,100.37616962992
1984-12-01,100.31184538002
1985-01-01,100.26197218766
1985-02-01,100.214971802582
1985-03-01,100.176188847098
1985-04-01,100.144416847467
1985-05-01,100.116019917287
1985-06-01,100.091321883646
1985-07-01,100.061069360638
1985-08-01,100.033530307877
1985-09-01,100.013573035484
1985-10-01,100.007108392383
1985-11-01,100.020112054528
1985-12-01,100.048690136737
1986-01-01,100.072787617687
1986-02-01,100.081529342717
1986-03-01,100.07547358368
1986-04-01,100.06265176111
1986-05-01,100.047403234868
1986-06-01,100.019421313398
1986-07-01,99.9751224578505
1986-08-01,99.927985380454
1986-09-01,99.886495853958
1986-10-01,99.8605373877296
1986-11-01,99.8702656828004
1986-12-01,99.9398704413784
1987-01-01,100.078973926032
1987-02-01,100.266866116232
1987-03-01,100.463360361001
1987-04-01,100.64319267638
1987-05-01,100.792022338271
1987-06-01,100.895725325694
1987-07-01,100.937310372974
1987-08-01,100.897852711901
1987-09-01,100.781863449656
1987-10-01,100.616392314799
1987-11-01,100.449204994617
1987-12-01,100.333263760271
1988-01-01,100.274980885459
1988-02-01,100.266062418123
1988-03-01,100.295734695177
1988-04-01,100.350651133371
1988-05-01,100.419225311719
1988-06-01,100.482213458251
1988-07-01,100.520282697004
1988-08-01,100.537224657288
1988-09-01,100.541082088078
1988-10-01,100.539484423471
1988-11-01,100.53313515112
1988-12-01,100.51531186448
1989-01-01,100.466023757139
1989-02-01,100.368539076016
1989-03-01,100.229447149577
1989-04-01,100.072978033791
1989-05-01,99.9232751137431
1989-06-01,99.8078405745167
1989-07-01,99.7375891001265
1989-08-01,99.7107768023872
1989-09-01,99.7140159794375
1989-10-01,99.7276869729164
1989-11-01,99.7495369431596
1989-12-01,99.7772768522761
1990-01-01,99.8085804704107
1990-02-01,99.8361299906276
1990-03-01,99.8353660947981
1990-04-01,99.7670287976766
1990-05-01,99.6112768993898
1990-06-01,99.3505764415798
1990-07-01,98.9903494070899
1990-08-01,98.5591410186637
1990-09-01,98.1234531449227
1990-10-01,97.7462898365572
1990-11-01,97.4873759929873
1990-12-01,97.3872180767474
1991-01-01,97.4451958987726
1991-02-01,97.6452172419975
1991-03-01,97.9393052973984
1991-04-01,98.2713265137101
1991-05-01,98.6027707859913
1991-06-01,98.9043360526124
1991-07-01,99.133835237813
1991-08-01,99.2567921200398
1991-09-01,99.2793309324419
1991-10-01,99.2310165603138
1991-11-01,99.1614057589251
1991-12-01,99.1285567017445
1992-01-01,99.1727264229217
1992-02-01,99.2863084172109
1992-03-01,99.4401002140625
1992-04-01,99.5799387050145
1992-05-01,99.6690982065945
1992-06-01,99.6967106574169
1992-07-01,99.6880724824433
1992-08-01,99.6803046195309
1992-09-01,99.7122833131645
1992-10-01,99.8056517874173
1992-11-01,99.9400918570233
1992-12-01,100.060249844767
1993-01-01,100.118486543207
1993-02-01,100.1026107529
1993-03-01,100.018852605834
1993-04-01,99.8958060998007
1993-05-01,99.7526744247101
1993-06-01,99.632022042453
1993-07-01,99.5655271546492
1993-08-01,99.5767675766127
1993-09-01,99.6713074948707
1993-10-01,99.8401640831527
1993-11-01,100.055138221624
1993-12-01,100.293354191739
1994-01-01,100.516377997666
1994-02-01,100.697895850948
1994-03-01,100.832977002308
1994-04-01,100.918151535113
1994-05-01,100.955699604014
1994-06-01,100.951365627737
1994-07-01,100.918665724003
1994-08-01,100.871392507834
1994-09-01,100.810593949311
1994-10-01,100.729415022323
1994-11-01,100.607064915545
1994-12-01,100.433462636682
1995-01-01,100.203562561126
1995-02-01,99.919138397739
1995-03-01,99.6084764732931
1995-04-01,99.319424540097
1995-05-01,99.0909417595245
1995-06-01,98.9384834680795
1995-07-01,98.8498700605167
1995-08-01,98.7938731501668
1995-09-01,98.7449422390524
1995-10-01,98.7038005363292
1995-11-01,98.683860147879
1995-12-01,98.6985424996767
1996-01-01,98.758196402151
